N = 6
q = 11
Calculated probability:
0.812842459277
Probability based on random polynomials
0.81158
####################################################
##################################################
N = 2
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
41		0.97386		1681		0.99584		68921		0.99999
43		0.84813		1849		0.99622		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98111		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.98506		4489		0.99977		300763		0.99999
71		0.90547		5041		0.99861		357911		0.99999
##################################################
N = 8
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.5		4		0.75		8		0.9375
3		0.31214		9		0.38974		27		0.90539
5		0.37748		25		0.72138		125		0.98727
7		0.69062		49		0.84793		343		0.99667
11		0.80612		121		0.93576		1331		0.99945
13		0.71745		169		0.95363		2197		0.99971
17		0.61569		289		0.97265		4913		0.99990
19		0.89006		361		0.97805		6859		0.99993
23		0.90975		529		0.98497		12167		0.99997
29		0.86697		841		0.99052		24389		0.99998
31		0.93360		961		0.99170		29791		0.99999
37		0.89488		1369		0.99417		50653		0.99999
41		0.82074		1681		0.99525		68921		0.99999
43		0.95248		1849		0.99568		79507		0.99999
47		0.95659		2209		0.99638		103823		0.99999
53		0.92597		2809		0.99715		148877		0.99999
59		0.96555		3481		0.99770		205379		0.99999
61		0.93551		3721		0.99785		226981		0.99999
67		0.96972		4489		0.99821		300763		0.99999
71		0.97145		5041		0.99841		357911		0.99999
##################################################
N = 9
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.36914		4		0.40879		8		0.82357
3		0.66666		9		0.88888		27		0.98765
5		0.76795		25		0.88462		125		0.99520
7		0.62607		49		0.94000		343		0.99875
11		0.90157		121		0.97540		1331		0.99979
13		0.78581		169		0.98235		2197		0.99989
17		0.92821		289		0.96928		4913		0.99989
19		0.61470		361		0.97534		6859		0.99993
23		0.95471		529		0.99433		12167		0.99998
29		0.96436		841		0.99643		24389		0.99999
31		0.90625		961		0.99688		29791		0.99999
37		0.78146		1369		0.99344		50653		0.99999
41		0.97502		1681		0.99821		68921		0.99999
43		0.93181		1849		0.99837		79507		0.99999
47		0.97828		2209		0.99864		103823		0.99999
53		0.97973		2809		0.99680		148877		0.99999
59		0.98276		3481		0.99913		205379		0.99999
61		0.95161		3721		0.99919		226981		0.99999
67		0.95588		4489		0.99933		300763		0.99999
71		0.98513		5041		0.99821		357911		0.99999
##################################################
N = 10
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.46875		4		0.65917		8		0.72419
3		0.43353		9		0.75182		27		0.88318
5		0.64		25		0.9216		125		0.99680
7		0.73408		49		0.95800		343		0.99584
11		0.38554		121		0.92036		1331		0.99931
13		0.85201		169		0.98806		2197		0.99964
17		0.88579		289		0.99304		4913		0.99988
19		0.88760		361		0.97264		6859		0.99992
23		0.91492		529		0.99620		12167		0.99996
29		0.92779		841		0.98817		24389		0.99998
31		0.72043		961		0.98964		29791		0.99998
37		0.94667		1369		0.99853		50653		0.99999
41		0.78119		1681		0.99406		68921		0.99999
43		0.95402		1849		0.99891		79507		0.99999
47		0.95789		2209		0.99909		103823		0.99999
53		0.96261		2809		0.99928		148877		0.99999
59		0.96527		3481		0.99713		205379		0.99999
61		0.84764		3721		0.99731		226981		0.99999
67		0.97037		4489		0.99955		300763		0.99999
71		0.86775		5041		0.99801		357911		0.99999
##################################################
N = 11
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49951		4		0.74853		8		0.93749
3		0.66119		9		0.88885		27		0.98765
5		0.79948		25		0.95999		125		0.9984
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.61325		529		0.97940		12167		0.99996
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
43		0.97410		1849		0.99406		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.84754		4489		0.99755		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 12
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.375		4		0.42187		8		0.82397
3		0.39506		9		0.62429		27		0.95152
5		0.34789		25		0.61270		125		0.98096
7		0.37278		49		0.78080		343		0.99501
11		0.79285		121		0.90521		1331		0.99918
13		0.38269		169		0.93125		2197		0.99957
17		0.77386		289		0.95925		4913		0.99985
19		0.71696		361		0.96726		6859		0.99990
23		0.90631		529		0.97755		12167		0.99995
29		0.86491		841		0.98582		24389		0.99998
31		0.81884		961		0.98758		29791		0.99998
37		0.71979		1369		0.99126		50653		0.99999
41		0.90379		1681		0.99288		68921		0.99999
43		0.86692		1849		0.99352		79507		0.99999
47		0.95573		2209		0.99458		103823		0.99999
53		0.92531		2809		0.99573		148877		0.99999
59		0.96500		3481		0.99655		205379		0.99999
61		0.82008		3721		0.99677		226981		0.99999
67		0.91311		4489		0.99733		300763		0.99999
71		0.97106		5041		0.99762		357911		0.99999
##################################################
N = 13
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49987		4		0.74963		8		0.93658
3		0.57325		9		0.88402		27		0.98764
5		0.79616		25		0.95082		125		0.97939
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96535		841		0.99881		24389		0.99999
31		0.96773		961		0.99895		29791		0.99998
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.78065		2809		0.99538		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98358		3721		0.99973		226981		0.99999
67		0.98507		4489		0.99977		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 14
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
